Date,Open,High,Low,Close,Adj Close,Volume
2014-07-17,586.000000,586.000000,577.750000,579.950012,556.043518,43697
2014-07-18,582.000000,589.599976,578.549988,581.400024,557.433655,96969
2014-07-21,589.000000,595.000000,583.000000,593.900024,569.418457,58139
2014-07-22,599.500000,610.599976,593.000000,602.750000,577.903503,323995
2014-07-23,606.000000,610.450012,595.700012,601.549988,576.753113,98211
2014-07-24,604.849976,621.950012,599.700012,618.400024,592.908508,126548
2014-07-25,618.000000,638.950012,618.000000,637.000000,610.741760,160586
2014-07-28,638.150024,645.000000,628.049988,634.500000,608.344910,91147
2014-07-30,635.000000,647.200012,625.000000,642.250000,615.775391,133133
2014-07-31,643.900024,645.250000,626.299988,629.150024,603.215393,65712
2014-08-01,617.000000,630.750000,617.000000,625.200012,599.428162,54351
2014-08-04,627.000000,633.299988,622.400024,629.950012,603.982300,60496
2014-08-05,630.000000,635.599976,624.599976,633.000000,606.906738,71172
2014-08-06,630.099976,650.099976,628.500000,639.900024,613.522156,101315
2014-08-07,639.400024,640.900024,630.000000,632.299988,606.235413,55835
2014-08-08,630.000000,630.000000,615.000000,618.500000,593.004272,45046
2014-08-11,620.900024,623.000000,610.049988,613.950012,588.641907,47662
2014-08-12,617.250000,617.799988,606.049988,614.299988,588.977356,73265
2014-08-13,615.000000,628.000000,611.000000,615.349976,589.984070,118983
2014-08-14,617.849976,625.250000,616.000000,617.450012,591.997681,46899
2014-08-18,620.000000,625.950012,618.099976,620.299988,594.730103,51649
2014-08-19,620.950012,625.299988,612.549988,615.349976,589.984070,48098
2014-08-20,617.849976,617.849976,605.000000,612.250000,587.011963,122183
2014-08-21,614.000000,624.650024,610.000000,613.250000,587.970764,132182
2014-08-22,617.349976,618.849976,608.799988,610.349976,585.190247,71675
2014-08-25,613.000000,617.000000,603.000000,605.049988,580.108826,91417
2014-08-26,605.000000,612.000000,604.099976,608.000000,582.937134,102213
2014-08-27,610.049988,619.099976,608.950012,616.950012,591.518372,102458
2014-08-28,620.000000,631.500000,620.000000,624.150024,598.421509,131167
2014-09-01,628.900024,634.700012,628.049988,629.599976,603.646790,105227
